№,Флаг,Герб,Название района[2]/поселения[3][4],Название cоответствующего внутригородского муниципального образования: муниципального округа / поселения / городского округа[5],Адми-нистра-тивныйокруг,"Пло-щадь,[6][7]км²","Насе-ление2020[8],чел.","Плот-ностьнасе-ления2020,чел. / км²","Пло-щадьжилого фонда(01.01.2010)[9],тыс. м²","Жил-площадьначело-века(01.01.2010),м²/чел."
136.0,  , ,"Московский, поселение[Прим. 11] "," Московский, поселение ", НАО ," 40,60 ", ↗63 010 ,1551.97, ,"
"
137.0, , ," Мосрентген, поселение[Прим. 12] "," Мосрентген, поселение ", НАО ," 6,41 ", ↗20 967 ,3270.98, ,"
"
138.0,  , ,"Новофёдоровское, поселение[Прим. 13] "," Новофёдоровское, поселение ", ТАО ," 156,75 ", ↗7381 ,47.09, ,"
"
139.0, , ," Первомайское, поселение[Прим. 14] "," Первомайское, поселение ", ТАО ," 118,94 ", ↗9215 ,77.48, ,"
"
140.0, , ," Роговское, поселение[Прим. 15] "," Роговское, поселение ", ТАО ," 175,95 ", ↗4096 ,23.28, ,"
"
141.0, , ," Рязановское, поселение[Прим. 16] "," Рязановское, поселение ", НАО ," 41,41 ", ↗21 683 ,523.62, ,"
"
142.0, , ," Сосенское, поселение[Прим. 17] "," Сосенское, поселение ", НАО ," 67,07 ", ↗33 096 ,493.45, ,"
"
143.0, , ," Троицк, поселение[Прим. 18] "," Троицк, городской округ ", ТАО ," 16,33 ", ↗61 284 ,3752.85, ,"
"
144.0,  , ,"Филимонковское, поселение[Прим. 19] "," Филимонковское, поселение ", НАО ," 35,77 ", ↗8017 ,224.13, ,"
"
145.0, , ," Щаповское, поселение[Прим. 20] "," Щаповское, поселение ", ТАО ," 86,06 ", ↗9601 ,111.56, ,"
"
146.0, , ," Щербинка, поселение[Прим. 21] "," Щербинка, городской округ ", НАО ," 7,62 ", ↗54 008 ,7087.66, ,"
"
