Borough_Name,Venue_Name,Venue_Category_Name,Venue_Location,Venue_Latitude,Venue_Longitude
Нагорный,Yoga  Practika,Yoga Studio,"Симферопольский пр., 18б",55.66524009572088,37.614827845526825
Братеево,Фитнес Гуру,Gym / Fitness Center,"ТЦ Браво (ул. Борисовские Пруды, 26, стр. 2), 115408",55.638951738350286,37.759172916412346
Ломоносовский,Vital Practice,Yoga Studio,"просп. Вернадского, 11/19 (ул. Строителей)",55.68865034333208,37.53117261138353
Ломоносовский,L-class,Gym,"Вернадского Пр-т, 13",55.68773248692329,37.52657649934217
Ломоносовский,Фитнес,Gym / Fitness Center,Проспект Вернадского 15,55.68740029805222,37.52709989605553
Нагатино-Садовники,СССР,Gym / Fitness Center,"Хлебозаводский пр., 7, стр. 10",55.67029821083976,37.63377525433608
Академический,Лотос,Gym / Fitness Center,"ул. Кедрова, 14, корп. 1, 117218",55.6835596265021,37.571835781670906
Нагорный,Атмосфера,Climbing Gym,"Электролитный Проезд, 7б",55.676019852481424,37.612619165127136
Нагорный,НебоТут,Gymnastics Gym,"Электролитный пр., 3, стр. 2, 115230",55.6749611423222,37.61839631284239
Нагорный,Klokov & Baza Team,Gym / Fitness Center,Москва,55.67501805978029,37.61588594011995
Нагорный,"Клуб КУДО ""Профессионал""",Martial Arts Dojo,"Электролитный пр., 3, к. 2",55.673717316551546,37.62152060364033
Нагатино-Садовники,Club 18 fight & fitness,Gym / Fitness Center,"1-й Нагатинский пр., 15",55.67416972067417,37.63263614409917
Нагатино-Садовники,Muai Thai 18fit,Martial Arts Dojo,Россия,55.67418860401131,37.632505076408364
Фили-Давыдково,Let’s Do Pilates,Pilates Studio,119517,55.712467000000004,37.467433
Академический,Naused центр гимнастики и акробатики,Gymnastics Gym,Черёмушкий пр-д дом 5,55.691772,37.570251
Академический,Dr. Loder,Gym / Fitness Center,"ул. Дмитрия Ульянова, 31 (Новочерёмушкинская ул.)",55.68492098334243,37.58594929501382
Нагатино-Садовники,X-Fit,Gym / Fitness Center,"Newton Plaza (1-й Нагатинский пр., 10), 115533",55.67886081881465,37.63140109496368
Капотня,Тренажорка В Капотне,Gym,Россия,55.64716166840683,37.7938473195394
Котловка,Spirit Fitness,Gym / Fitness Center,"ТРЦ «Рио» (Большая Черёмушкинская ул., 1), 117447",55.69027249843329,37.60136208249078
Нагатино-Садовники,CrossFit IDOL Nagatino,Gym,Нагатинская,55.68322137247803,37.63004559558569
Нагатино-Садовники,Fight Club #1,Martial Arts Dojo,Нагатинская наб. 2,55.68551318397295,37.62911772543765
Академический,Спортзал Сбербанка,Gym / Fitness Center,"Сбербанк HQ (ул. Вавилова, 19)",55.69932050827803,37.580210180190676
Донской,Good Time with Sonya Neks,Gym / Fitness Center,Варшавское Шоссе Д. 33 Стр. 13,55.691230301330364,37.6228965210601
Нагатино-Садовники,Клуб Единоборств #1,Martial Arts Dojo,Нагатинская набережная 2,55.68573925551858,37.62856554132238
Нагатино-Садовники,RockZona,Climbing Gym,"просп. Андропова, 22",55.683569817076595,37.66198295502931
Нагатино-Садовники,Alex Fitness (Алекс Фитнес),Gym / Fitness Center,"БЦ «Нагатинский» (просп. Андропова, 22), 115533",55.6831632856069,37.66268456063457
Печатники,СК Южный,Gym,Россия,55.66980702454149,37.72117981294658
Донской,World Class,Gym / Fitness Center,"Варшавское шоссе, д.12А, 117105",55.69706964100338,37.618088722229
Донской,Планета Фитнес,Gym / Fitness Center,"Варшавское ш., 14, стр. 1, 117105",55.69603445926293,37.62012720108032
Донской,Спортзал СберТеха,Gym,"Новоданиловская наб., д.10",55.69585362622182,37.62605533990959
Печатники,Зебра Фитнес SPA БАССЕЙН,Gym / Fitness Center,Полбина 33,55.67304965107421,37.72514458251535
Фили-Давыдково,"Спортивный комплекс ""Фили-Давыдково 2000""",Gym,"ул. Малая Филевская, 34, к1, 121433",55.73434542414096,37.457453511720345
Фили-Давыдково,WeGym,Gym / Fitness Center,"Давыдковская ул., 3, стр. 1 (Славянский бул.), 121352",55.72712597968588,37.48088483173533
Донской,Eagle Trampoline,Gymnastics Gym,"Загородное ш., 1, корп. 2, стр. 2, 117152",55.69935488744528,37.61529558982485
Даниловский,Atletika Fitness Club (Атлетика),Gym / Fitness Center,"Проектируемый пр., 4062, корп. 2 (просп. Андропова)",55.69295392850196,37.66065548350754
Печатники,Территория Фитнеса,Gym / Fitness Center,"ул. Гурьянова, 30",55.680576,37.715621999999996
Печатники,"Спортивный центр ""Новатор""",Gym,Ул. Полбина д.9 стр.3,55.68028976213819,37.73104452565549
Филёвский Парк,Олимпик Стар,Gym / Fitness Center,"Рублевское ш., 10",55.73890436279146,37.44041831828035
Филёвский Парк,Качалка под открытым небом в Суворовском парке,Gym,Россия,55.736670790791855,37.4555178209047
Фили-Давыдково,Hardcore Gym,Gym,Kastanaevskaya st.,55.73469651010939,37.47443863297378
Донской,Power Style,Gym / Fitness Center,"5-й Донской пр., 15, корп. 3",55.70823730749672,37.60021413191069
Донской,Скалодром 4810,Climbing Gym,"Орджоникидзе 11, строение 42, подъезд 9",55.707757154748116,37.597361139271285
Даниловский,Gym @RaiffeisenBank,Gym,"Andropova Avenue, 18 bld 2",55.69601896747752,37.66270504741428
Печатники,Winner,Gym,"Ул. Кухмистерова, 5",55.686373473401616,37.72184509705493
Печатники,Арт Фитнес,Gym / Fitness Center,"Ул. Полбина, д. 3, стр. 1",55.68343748435757,37.73084978801087
Крылатское,Neofit,Gym / Fitness Center,"Крылатские Холмы дом 5 корпус 1, 121609",55.74882449352209,37.42410725429069
Крылатское,MG Fitness,Gym,"ул. Крылатские Холмы, 5, стр. 1",55.749112115345966,37.42328153384685
Крылатское,Мастер Джим,Gym,"ул. Крылатские Холмы, 7",55.7486754914256,37.42275253275656
Фили-Давыдково,Фитнес Холл,Gym / Fitness Center,"Кастанаевская, 38",55.73577550569669,37.479827793315174
Донской,Plasty Plus,Gym / Fitness Center,"ул. Шаболовка, 54",55.71252795371686,37.60639320814358
Даниловский,Alex Fitness,Gym / Fitness Center,"ТРЦ «Ереван Плаза» (Большая Тульская ул., 13), 115191",55.70795813252286,37.621547192459815
Даниловский,Lomov Gym,Gym / Fitness Center,"ТРЦ «Ривьера» (Автозаводская ул., 18), 115280",55.705290275968466,37.63736611779307
Даниловский,"Батутный Центр ""Олимпионик""",Gymnastics Gym,"Автозаводская ул., д.23/12, 115280",55.7037616167534,37.636896902624414
Даниловский,Zavod,Gym / Fitness Center,"2-й Кожуховский Проезд, 25, стр. 3",55.701536161974346,37.65747434635337
Даниловский,Спортивный комплекс «Торпедо»,Gym / Fitness Center,"Автозаводская ул., 21 (ТТК)",55.70320429193532,37.65232105940007
Крылатское,M&G,Gym,"Рублевское ш., 48",55.75402713225496,37.40573611628576
Крылатское,Зал Единоборств MG,Gym,Россия,55.75036583140915,37.43771296728929
Филёвский Парк,Тонус-клуб,Gym,"Ул. Олеко Дундича 21, корп. 3",55.738640457293386,37.48845539799306
Филёвский Парк,X-Fit,Gym / Fitness Center,"ул. Василисы Кожиной, 1, 121170",55.737290064775856,37.50410140800053
Донской,Биосфера,Gym / Fitness Center,"Малая Калужская ул., 15, стр. 4",55.71809011062589,37.5979344835831
Донской,Спорт Клуб Энергия,Gym,Шухова Д.18 (Шухова 18),55.716811693198395,37.609988101479175
Даниловский,World Gym,Gym / Fitness Center,"Дубининская ул., 71",55.71115500000001,37.63277
Даниловский,Monkey Studio,Gym / Fitness Center,Россия,55.71332506887231,37.63407877930672
Даниловский,Masters,Gym / Fitness Center,"Дубининская ул., 71, 115054",55.71115506384242,37.63269876149271
Печатники,Спортзал ЦСКО Сбербанка,Gym,Москва,55.700941113629945,37.689988516457426
Крылатское,La Collina,Gym / Fitness Center,"ул. Крылатские холмы, 35",55.75876905363007,37.41965259478046
Крылатское,Йога Практика,Yoga Studio,"ул. Крылатские Холмы, 33",55.75668245515472,37.41869797174969
Крылатское,NeoFit Club,Gym / Fitness Center,"ул. Крылатские Холмы, 33",55.75675961967797,37.41816153319984
Филёвский Парк,Fitness One Art Горбушкин Двор,Gym / Fitness Center,121309,55.741760198188416,37.50509793130472
Филёвский Парк,WeGym,Gym / Fitness Center,"ул. Барклая, 6, стр. 5",55.73944368334714,37.5083064385426
Даниловский,Школа Йоги Ваджра,Yoga Studio,Россия,55.71762485254808,37.627669598480395
Даниловский,AQQUA FIRST,Gym / Fitness Center,"3-й Павловский переулок, д.1, корп. 57, стр. 3",55.718836722691,37.63125924147234
Даниловский,На батуте,Gymnastics Gym,"ул. Ленинская Слобода, 26, стр. 35",55.711381285695325,37.65492633376368
Даниловский,НАДО Medical Fitness,Gym / Fitness Center,"Восточная 4 корп. 1 стр. 10, 115280",55.71431214652903,37.65511937712299
Даниловский,Fitness One Art,Gym / Fitness Center,"ул. Ленинская Слобода, 26, стр. 3, 115280",55.711259745568654,37.656054658343024
Филёвский Парк,Йога,Yoga Studio,ПКиО «Фили»,55.75049058621216,37.48989189706942
Филёвский Парк,Звезда,Gym / Fitness Center,"Большая Филевская ул., 20, 121309",55.74818536331523,37.497753888119824
Филёвский Парк,"Спорткомплекс ""Фили""",Gym,"Новозаводская ул., 27",55.74980242489807,37.49879209735987
