Borough_Name,District_Name,Borough_Type,OKATO_Borough_Code,OKTMO_District_Code,Borough_Area,Borough_Population,Borough_Population_Density,Borough_Housing_Area,Borough_Housing_Area_Per_Person,Latitude,Longitude,Borough_Housing_Price
Красносельский,ЦАО,Муниципальный округ,45286565,45378000,4.96,48769,9832,871.2,18.3,55.76874,37.6418909,322543.0
Крылатское,ЗАО,Муниципальный округ,45268560,45319000,12.04,83007,6894,1850.5,22.4,55.7565949,37.408139299999995,214855.0
Кузьминки,ЮВАО,Муниципальный округ,45290562,45387000,8.15,146208,17939,2312.7,16.1,55.70560210000001,37.7657844,157459.0
Кунцево,ЗАО,Муниципальный округ,45268562,45320000,16.56,152467,9206,2587.4,17.6,55.74263249999999,37.3974723,210010.0
Куркино,СЗАО,Муниципальный округ,45283555,45366000,7.9,34231,4333,900.0,42.2,55.89362070000001,37.3887002,168022.0
Левобережный,САО,Муниципальный округ,45277583,45342000,8.0,54712,6839,933.0,17.7,55.8650743,37.4691831,171944.0
Лефортово,ЮВАО,Муниципальный округ,45290564,45388000,9.06,95467,10537,1384.2,15.2,55.7606126,37.6903381,188256.0
Лианозово,СВАО,Муниципальный округ,45280563,45354000,5.79,86035,14859,1563.7,18.1,55.9021433,37.5690541,133827.0
Ломоносовский,ЮЗАО,Муниципальный округ,45293574,45904000,3.34,88407,26469,2881.5,33.9,55.6799618,37.5332552,229014.0
Лосиноостровский,СВАО,Муниципальный округ,45280565,45355000,5.54,83046,14990,1486.0,18.7,55.8826072,37.694540100000005,147845.0
Люблино,ЮВАО,Муниципальный округ,45290568,45389000,17.41,172523,9909,2739.7,15.9,55.675622399999995,37.761925399999996,138523.0
Марфино,СВАО,Муниципальный округ,45280567,45356000,2.97,35579,11979,711.1,26.2,55.830908400000006,37.5914584,167887.0
Марьина Роща,СВАО,Муниципальный округ,45280569,45357000,4.68,67538,14431,1118.9,16.9,55.795515599999995,37.616309,211977.0
Марьино,ЮВАО,Муниципальный округ,45290572,45390000,11.91,254142,21338,4523.0,18.6,55.6500377,37.74330560000001,140306.0
Метрогородок,ВАО,Муниципальный округ,45263581,45311000,27.57,39121,1418,575.7,15.9,55.8249036,37.756955,132441.0
Мещанский,ЦАО,Муниципальный округ,45286570,45379000,4.6,61452,13359,1417.4,24.4,55.7746805,37.6319794,320746.0
Митино,СЗАО,Муниципальный округ,45283559,45367000,12.67,195476,15428,3658.1,21.0,55.845754299999996,37.3622259,166324.0
Можайский,ЗАО,Муниципальный округ,45268569,45321000,10.73,139081,12961,2655.9,20.0,55.7167137,37.4148645,200874.0
Молжаниновский,САО,Муниципальный округ,45277584,45343000,21.78,12264,563,69.9,19.9,55.93672370000001,37.3769255,110572.0
Москворечье-Сабурово,ЮАО,Муниципальный округ,45296569,45917000,9.3,80934,8702,1314.7,17.9,55.64286510000001,37.6703469,164441.0
Нагатино-Садовники,ЮАО,Муниципальный округ,45296571,45918000,8.17,83607,10233,960.4,12.8,55.67461170000001,37.645480600000006,180555.0
Нагатинский Затон,ЮАО,Муниципальный округ,45296573,45919000,9.8,121143,12361,1848.8,16.2,55.68234820000001,37.705917,174442.0
Нагорный,ЮАО,Муниципальный округ,45296575,45920000,5.42,81794,15091,1551.4,20.3,55.6703681,37.6163609,171887.0
Некрасовка,ЮВАО,Муниципальный округ,45290574,45391000,5.58,83525,14968,385.5,20.1,55.68410840000001,37.922905,110878.0
Нижегородский,ЮВАО,Муниципальный округ,45290578,45392000,7.57,45738,6042,722.3,16.8,55.729922200000004,37.71648029999999,167642.0
Ново-Переделкино,ЗАО,Муниципальный округ,45268577,45322000,8.48,121718,14353,1895.0,16.4,55.6461043,37.352684,131641.0
Новогиреево,ВАО,Муниципальный округ,45263576,45309000,4.45,98634,22164,1704.0,17.9,55.74876510000001,37.8061677,151974.0
Новокосино,ВАО,Муниципальный округ,45263579,45310000,3.6,108204,30056,1682.4,16.2,55.74508879999999,37.8637539,138743.0
